Chiave;CHIAVE
Delibere.Lista Delibere.elenco.Denominazione Proposta;DELIBERE.LISTA_DELIBERE.ELENCO.DENOMINAZIONE_PROPOSTA
Delibere.Lista Delibere.elenco.GBV proposta;DELIBERE.LISTA_DELIBERE.ELENCO.GBV_PROPOSTA
Delibere.Lista Delibere.elenco.Strategia Proposta;DELIBERE.LISTA_DELIBERE.ELENCO.STRATEGIA_PROPOSTA
Delibere.Lista Delibere.elenco.Unità Organizzativa;DELIBERE.LISTA_DELIBERE.ELENCO.UNITA_ORGANIZZATIVA
Delibere.Lista Delibere.elenco.Utente Assegnatario;DELIBERE.LISTA_DELIBERE.ELENCO.UTENTE_ASSEGNATARIO
Delibere.Lista Delibere.elenco.Stato;DELIBERE.LISTA_DELIBERE.ELENCO.STATO
Delibere.Lista Delibere.elenco.Nessuna delibera;DELIBERE.LISTA_DELIBERE.ELENCO.NESSUNA_DELIBERA
Delibere.sintesi proposta.titolo;DELIBERE.SINTESI_PROPOSTA.TITOLO
Delibere.sintesi proposta.dati.titolo;DELIBERE.SINTESI_PROPOSTA.DATI.TITOLO
Delibere.sintesi proposta.dati.elenco.Codice Protocollo;DELIBERE.SINTESI_PROPOSTA.DATI.ELENCO.CODICE_PROTOCOLLO
Delibere.sintesi proposta.dati.elenco.Denominazione;DELIBERE.SINTESI_PROPOSTA.DATI.ELENCO.DENOMINAZIONE
Delibere.sintesi proposta.dati.elenco.Data Protocollo;DELIBERE.SINTESI_PROPOSTA.DATI.ELENCO.DATA_PROTOCOLLO
Delibere.sintesi proposta.dati.elenco.Unità Organizzativa Creazione  ;DELIBERE.SINTESI_PROPOSTA.DATI.ELENCO.UNITA_ORGANIZZATIVA_CREAZIONE
Delibere.sintesi proposta.dati.elenco.Tipo Pratica;DELIBERE.SINTESI_PROPOSTA.DATI.ELENCO.TIPO_PRATICA
Delibere.sintesi proposta.dati.elenco.GBV proposta;DELIBERE.SINTESI_PROPOSTA.DATI.ELENCO.GBV_PROPOSTA
Delibere.sintesi proposta.dati.elenco.Stato;DELIBERE.SINTESI_PROPOSTA.DATI.ELENCO.STATO
Delibere.sintesi proposta.dati.elenco.Strategia Proposta;DELIBERE.SINTESI_PROPOSTA.DATI.ELENCO.STRATEGIA_PROPOSTA
Delibere.sintesi proposta.dati.elenco.Unità Organizzativa;DELIBERE.SINTESI_PROPOSTA.DATI.ELENCO.UNITA_ORGANIZZATIVA
Delibere.sintesi proposta.dati.elenco.Utente Assegnatario;DELIBERE.SINTESI_PROPOSTA.DATI.ELENCO.UTENTE_ASSEGNATARIO
Delibere.Sintesi proposta.dati.azioni.Modifica denominazione;DELIBERE.SINTESI_PROPOSTA.DATI.AZIONI.MODIFICA_DENOMINAZIONE
Delibere.Sintesi proposta.dati.azioni.cambia stato proposta;DELIBERE.SINTESI_PROPOSTA.DATI.AZIONI.CAMBIA_STATO_PROPOSTA
Delibere.Sintesi proposta.dati.azioni.Modifica Strategia;DELIBERE.SINTESI_PROPOSTA.DATI.AZIONI.MODIFICA_STRATEGIA
Delibere.Sintesi proposta.Elenco Posizioni.titolo ;DELIBERE.SINTESI_PROPOSTA.ELENCO_POSIZIONI.TITOLO
Delibere.Sintesi proposta.Elenco Posizioni.Azioni.Aggiungi Posizione;DELIBERE.SINTESI_PROPOSTA.ELENCO_POSIZIONI.AZIONI.AGGIUNGI_POSIZIONE
Delibere.Sintesi proposta.Elenco Posizioni.Azioni.modale conferma. messaggio;DELIBERE.SINTESI_PROPOSTA.ELENCO_POSIZIONI.AZIONI.MODALE_CONFERMA.MESSAGGIO
Delibere.Sintesi proposta.Elenco Posizioni.Azioni.modale conferma. annulla;DELIBERE.SINTESI_PROPOSTA.ELENCO_POSIZIONI.AZIONI.MODALE_CONFERMA.ANNULLA
Delibere.Sintesi proposta.Elenco Posizioni.Azioni. Modale conferma.conferma ;DELIBERE.SINTESI_PROPOSTA.ELENCO_POSIZIONI.AZIONI.MODALE_CONFERMA.CONFERMA
Delibere.Sintesi proposta.Elenco Posizioni.Azioni.Rimuovi Selezione;DELIBERE.SINTESI_PROPOSTA.ELENCO_POSIZIONI.AZIONI.RIMUOVI_SELEZIONE
Delibere.Sintesi proposta.Aggiungi posizione.Titolo ;DELIBERE.SINTESI_PROPOSTA.AGGIUNGI_POSIZIONE.TITOLO
Delibere.Sintesi proposta.Aggiungi posizione.Azioni Seleziona Posizione;DELIBERE.SINTESI_PROPOSTA.AGGIUNGI_POSIZIONE.AZIONI_SELEZIONA_POSIZIONE
Delibere.Sintesi proposta.Aggiungi posizione.elenco.nessuna posizione;DELIBERE.SINTESI_PROPOSTA.AGGIUNGI_POSIZIONE.ELENCO.NESSUNA_POSIZIONE
Delibere.Sintesi proposta.Aggiungi posizione.Azioni.Contatore delle posizioni Associate;DELIBERE.SINTESI_PROPOSTA.AGGIUNGI_POSIZIONE.AZIONI.CONTATORE_DELLE_POSIZIONI_ASSOCIATE
Delibere.Sintesi proposta.Elenco rapporti.Azioni.Rimuovi selezionati;DELIBERE.SINTESI_PROPOSTA.ELENCO_RAPPORTI.AZIONI.RIMUOVI_SELEZIONATI
Delibere.Sintesi proposta.Elenco rapporti.Azioni.Contatore dei rapporti associati ;DELIBERE.SINTESI_PROPOSTA.ELENCO_RAPPORTI.AZIONI.CONTATORE_DEI_RAPPORTI_ASSOCIATI
Delibere.Sintesi proposta.Elenco rapporti.Azioni.Rimuovi rapporto;DELIBERE.SINTESI_PROPOSTA.ELENCO_RAPPORTI.AZIONI.RIMUOVI_RAPPORTO
Delibere.Sintesi proposta.Elenco rapporti.Azioni. Aggiungi Rapporto;DELIBERE.SINTESI_PROPOSTA.ELENCO_RAPPORTI.AZIONI.AGGIUNGI_RAPPORTO
Delibere.Sintesi proposta.Aggiungi rapporti.Azioni.Contatore dei rapporti Associati;DELIBERE.SINTESI_PROPOSTA.AGGIUNGI_RAPPORTI.AZIONI.CONTATORE_DEI_RAPPORTI_ASSOCIATI
Delibere.Sintesi proposta.Aggiungi rapporti.Azioni.Aggiungi tutti i rapporti;DELIBERE.SINTESI_PROPOSTA.AGGIUNGI_RAPPORTI.AZIONI.AGGIUNGI_TUTTI_I_RAPPORTI
Carica business plan.titolo;CARICA_BUSINESS_PLAN.TITOLO
Carica business plan.selezione file.messaggio;CARICA_BUSINESS_PLAN.SELEZIONE_FILE.MESSAGGIO
Carica business plan.chiudi;CARICA_BUSINESS_PLAN.CHIUDI
Carica business plan.avanzamento.messaggio;CARICA_BUSINESS_PLAN.AVANZAMENTO.MESSAGGIO
Carica business plan.avanzamento.annulla;CARICA_BUSINESS_PLAN.AVANZAMENTO.ANNULLA
Carica business plan.esito positivo.messaggio;CARICA_BUSINESS_PLAN.ESITO_POSITIVO.MESSAGGIO
Carica business plan.carica nuovo file;CARICA_BUSINESS_PLAN.CARICA_NUOVO_FILE
Carica business plan.esito negativo.messaggio uno;CARICA_BUSINESS_PLAN.ESITO_NEGATIVO.MESSAGGIO_UNO
Carica business plan.esito negativo.messaggio due;CARICA_BUSINESS_PLAN.ESITO_NEGATIVO.MESSAGGIO_DUE
Carica business plan.lista errori;CARICA_BUSINESS_PLAN.LISTA_ERRORI
carica business plan.errore.mancanza fogli;CARICA_BUSINESS_PLAN.ERRORE.MANCANZA_FOGLI
carica business plan.errore.colonne errate;CARICA_BUSINESS_PLAN.ERRORE.COLONNE_ERRATE
carica business plan.errore.numero righe compilate;CARICA_BUSINESS_PLAN.ERRORE.NUMERO_RIGHE_COMPILATE
carica business plan.errore.errore formato;CARICA_BUSINESS_PLAN.ERRORE.ERRORE_FORMATO
NomeRiga identifica la riga in cui è stato rilevato l'errore;NOME_RIGA_IDENTIFICA_LA_RIGA_IN_CUI_E_STATO_RILEVATO_L_ERRORE
NomeCampo contiene il nome dell'intestazione della colonna in cui è stato rilevato l'errore";NOME_CAMPO_CONTIENE_IL_NOME_DELL_INTESTAZIONE_DELLA_COLONNA_IN_CUI_E_STATO_RILEVATO_L_ERRORE
Carica business plan.errore.versione duplicata;CARICA_BUSINESS_PLAN.ERRORE.VERSIONE_DUPLICATA
NomeRiga identifica la riga in cui è stato rilevato l'errore;NOME_RIGA_IDENTIFICA_LA_RIGA_IN_CUI_E_STATO_RILEVATO_L_ERRORE
NomeCampo contiene il nome dell'intestazione della colonna in cui è stato rilevato l'errore";NOME_CAMPO_CONTIENE_IL_NOME_DELL_INTESTAZIONE_DELLA_COLONNA_IN_CUI_E_STATO_RILEVATO_L_ERRORE
carica business plan.errore. portafoglio non corretto;CARICA_BUSINESS_PLAN.ERRORE.PORTAFOGLIO_NON_CORRETTO
NumeroRiga identifica la riga in cui è stato rilevato l'errore ";NUMERO_RIGA_IDENTIFICA_LA_RIGA_IN_CUI_E_STATO_RILEVATO_L_ERRORE
carica business plan.errore. NDG non corretto;CARICA_BUSINESS_PLAN.ERRORE.NDG_NON_CORRETTO
NumeroRiga identifica la riga in cui è stato rilevato l'errore ";NUMERO_RIGA_IDENTIFICA_LA_RIGA_IN_CUI_E_STATO_RILEVATO_L_ERRORE
carica business plan.errore.sequenza posizioni;CARICA_BUSINESS_PLAN.ERRORE.SEQUENZA_POSIZIONI
NumeroRiga identifica la riga in cui è stato rilevato l'errore ";NUMERO_RIGA_IDENTIFICA_LA_RIGA_IN_CUI_E_STATO_RILEVATO_L_ERRORE
carica business plan.errore.sequenza date;CARICA_BUSINESS_PLAN.ERRORE.SEQUENZA_DATE
NumeroRiga identifica la riga in cui è stato rilevato l'errore ";NUMERO_RIGA_IDENTIFICA_LA_RIGA_IN_CUI_E_STATO_RILEVATO_L_ERRORE
carica business plan.errore.BP eterogenei;CARICA_BUSINESS_PLAN.ERRORE.BP_ETEROGENEI
carica business plan.errore.Portafogli eterogenei;CARICA_BUSINESS_PLAN.ERRORE.PORTAFOGLI_ETEROGENEI
carica business plan.errore.NDG ripetuto;CARICA_BUSINESS_PLAN.ERRORE.NDG_RIPETUTO
carica business plan.errore.mancanza righe;CARICA_BUSINESS_PLAN.ERRORE.MANCANZA_RIGHE
Posizione.Toolbar.Documenti.Titolo;POSIZIONE.TOOLBAR.DOCUMENTI.TITOLO
Posizione.Toolbar.Documenti.Apri cartella;POSIZIONE.TOOLBAR.DOCUMENTI.APRI_CARTELLA
Delibere.Sintesi proposta.Toolbar.Documenti.Titolo;DELIBERE.SINTESI_PROPOSTA.TOOLBAR.DOCUMENTI.TITOLO
Delibere.Sintesi proposta.Toolbar.Documenti.Apri cartella;DELIBERE.SINTESI_PROPOSTA.TOOLBAR.DOCUMENTI.APRI_CARTELLA
Portfolio management.Menu.Assegnazione gestore;PORTFOLIO_MANAGEMENT.MENU.ASSEGNAZIONE_GESTORE
Portfolio management.assegnazione gestore.carica file.azioni.carica assegnazione;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.AZIONI.CARICA_ASSEGNAZIONE
Portfolio management.assegnazione gestore.carica file.titolo;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.TITOLO
Portfolio management.assegnazione gestore.carica file.selezione file.messaggio;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.SELEZIONE_FILE.MESSAGGIO
Portfolio management.assegnazione gestore.carica file.avanzamento.messaggio;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.AVANZAMENTO.MESSAGGIO
Portfolio management.assegnazione gestore. carica file.esito positivo.messaggio;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.ESITO_POSITIVO.MESSAGGIO
Portfolio management.assegnazione gestore. carica file.esito negativo.messaggio uno;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.ESITO_NEGATIVO.MESSAGGIO_UNO
Portfolio management.assegnazione gestore. carica file.esito negativo.messaggio due;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.ESITO_NEGATIVO.MESSAGGIO_DUE
Portfolio management.assegnazione gestore. carica file.esito warning.messaggio uno;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.ESITO_WARNING.MESSAGGIO_UNO
Portfolio management.assegnazione gestore. carica file.esito warning.messaggio due;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.ESITO_WARNING.MESSAGGIO_DUE
Portfolio management.assegnazione gestore.carica file.azioni.Annulla caricamento;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.AZIONI.ANNULLA_CARICAMENTO
Portfolio management.assegnazione gestore.carica file.azioni.Chiudi;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.AZIONI.CHIUDI
Portfolio management.assegnazione gestore.carica file.azioni.Carica nuovo file;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.AZIONI.CARICA_NUOVO_FILE
Portfolio management.assegnazione gestore.carica file.azioni.Scarica errori;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.AZIONI.SCARICA_ERRORI
Portfolio management.assegnazione gestore.carica file.azioni.Scarica warning;PORTFOLIO_MANAGEMENT.ASSEGNAZIONE_GESTORE.CARICA_FILE.AZIONI.SCARICA_WARNING
Carica file assegnazione utenti.errore.manca foglio;CARICA_FILE_ASSEGNAZIONE_UTENTI.ERRORE.MANCA_FOGLIO
Carica file assegnazione utenti.errore.colonne errate;CARICA_FILE_ASSEGNAZIONE_UTENTI.ERRORE.COLONNE_ERRATE
Carica file assegnazione utenti.errore.nessuna riga;CARICA_FILE_ASSEGNAZIONE_UTENTI.ERRORE.NESSUNA_RIGA
Carica file assegnazione utenti.errore.Portafoglio;CARICA_FILE_ASSEGNAZIONE_UTENTI.ERRORE.PORTAFOGLIO
NumeroRiga contiene il numero della riga su cui è stato rilevato il portafoglio non corretto";NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_STATO_RILEVATO_IL_PORTAFOGLIO_NON_CORRETTO
Carica file assegnazione utenti.errore.NDG;CARICA_FILE_ASSEGNAZIONE_UTENTI.ERRORE.NDG
NumeroRiga contiene il numero della riga su cui è stato rilevato l'NDG non corretto";NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_STATO_RILEVATO_L_NDG_NON_CORRETTO
Carica file assegnazione utenti.errore.Email;CARICA_FILE_ASSEGNAZIONE_UTENTI.ERRORE.EMAIL
NumeroRiga contiene il numero della riga su cui è stato rilevato l'errore sulla e-mail";NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_STATO_RILEVATO_L_ERRORE_SULLA_E_MAIL
Carica file assegnazione utenti.errore.Assegnazione;CARICA_FILE_ASSEGNAZIONE_UTENTI.ERRORE.ASSEGNAZIONE
NumeroRiga contiene il numero della riga su cui è stato rilevato un  valore Tipo Assegnazione non corretto ";NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_STATO_RILEVATO_UN_VALORE_TIPO_ASSEGNAZIONE_NON_CORRETTO
Carica file assegnazione utenti.errore.codice portafoglio non omogeneo;CARICA_FILE_ASSEGNAZIONE_UTENTI.ERRORE.CODICE_PORTAFOGLIO_NON_OMOGENEO
Carica file assegnazione utenti.errore.NDG ripetuto;CARICA_FILE_ASSEGNAZIONE_UTENTI.ERRORE.NDG_RIPETUTO
Carica file assegnazione utenti.errore.indirizzo email duplicato;CARICA_FILE_ASSEGNAZIONE_UTENTI.ERRORE.INDIRIZZO_EMAIL_DUPLICATO
NumeroRiga contiene il numero della riga su cui è presente l'indirizzo email non univoco all'interno del sistema;NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_PRESENTE_L_INDIRIZZO_EMAIL_NON_UNIVOCO_ALL_INTERNO_DEL_SISTEMA
EmailUtente è l'indirizzo email non univoco all'interno del sistema";EMAIL_UTENTE_E_L_INDIRIZZO_EMAIL_NON_UNIVOCO_ALL_INTERNO_DEL_SISTEMA
Carica file assegnazione utenti.warning.Utente UO non coerente;CARICA_FILE_ASSEGNAZIONE_UTENTI.WARNING.UTENTE_UO_NON_COERENTE
NumeroRiga contiene il numero della riga su cui è stata rilevata l'incongruenza tra Unità assegnataria Posizione e Unità organizzativa dell'utente";NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_STATA_RILEVATA_L_INCONGRUENZA_TRA_UNITA_ASSEGNATARIA_POSIZIONE_E_UNITA_ORGANIZZATIVA_DELL_UTENTE
Carica file assegnazione utenti.warning.Gruppo economico;CARICA_FILE_ASSEGNAZIONE_UTENTI.WARNING.GRUPPO_ECONOMICO
Gruppo contiene la denominazione del gruppo economico dell'NDG;GRUPPO_CONTIENE_LA_DENOMINAZIONE_DEL_GRUPPO_ECONOMICO_DELL_NDG
Utente contiene la denominazione dell'utente assegnatario;UTENTE_CONTIENE_LA_DENOMINAZIONE_DELL_UTENTE_ASSEGNATARIO
ListaNdgUtenti : lista delle coppie <NDG, Utente assegnatario> delle posizioni dello stesso gruppo economico assegnate ad utenti diversi.  Il formalismo della lista è il seguente: ""<{{NDG1}}, {{Utente1}}>, <{{NDG2}}, {{Utente2}}>, … <{{NDGn}}, {{Utenten}}>""";LISTA_NDG_UTENTI_LISTA_DELLE_COPPIE_NDG_UTENTE_ASSEGNATARIO_DELLE_POSIZIONI_DELLO_STESSO_GRUPPO_ECONOMICO_ASSEGNATE_AD_UTENTI_DIVERSI.IL_FORMALISMO_DELLA_LISTA_E_IL_SEGUENTE_ND_G1_UTENTE1_ND_G2_UTENTE2_ND_GN_UTENTEN
Carica file assegnazione segmento.errore.manca foglio;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.MANCA_FOGLIO
Carica file assegnazione segmento.errore.colonne errate;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.COLONNE_ERRATE
Carica file assegnazione segmento.errore.nessuna riga;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.NESSUNA_RIGA
Carica file assegnazione segmento.errore.Portafoglio;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.PORTAFOGLIO
NumeroRiga contiene il numero della riga su cui è stato rilevato il portafoglio non corretto";NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_STATO_RILEVATO_IL_PORTAFOGLIO_NON_CORRETTO
Carica file assegnazione segmento.errore.NDG;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.NDG
NumeroRiga contiene il numero della riga su cui è stato rilevato l'NDG non corretto";NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_STATO_RILEVATO_L_NDG_NON_CORRETTO
Carica file assegnazione segmento.errore.Segmento;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.SEGMENTO
NumeroRiga contiene il numero della riga su cui è stato rilevato un segmento non valido";NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_STATO_RILEVATO_UN_SEGMENTO_NON_VALIDO
Carica file assegnazione segmento.errore.codice portafoglio non omogeneo;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.CODICE_PORTAFOGLIO_NON_OMOGENEO
Carica file assegnazione segmento.errore.NDG ripetuto;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.NDG_RIPETUTO
Carica file assegnazione gruppo economico.errore.manca foglio;CARICA_FILE_ASSEGNAZIONE_GRUPPO_ECONOMICO.ERRORE.MANCA_FOGLIO
Carica file assegnazione gruppo economico.errore.colonne errate;CARICA_FILE_ASSEGNAZIONE_GRUPPO_ECONOMICO.ERRORE.COLONNE_ERRATE
Carica file assegnazione gruppo economico.errore.nessuna riga;CARICA_FILE_ASSEGNAZIONE_GRUPPO_ECONOMICO.ERRORE.NESSUNA_RIGA
Carica file assegnazione gruppo economico.errore.NDG;CARICA_FILE_ASSEGNAZIONE_GRUPPO_ECONOMICO.ERRORE.NDG
